city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Ilo,PE,-71.34,-17.65,58.29,58.29,58.29,96,8,2.48,1538180967
Isangel,VU,169.27,-19.55,71.61,71.61,71.61,100,92,18.7,1538180967
Dwarka,IN,77.04,28.58,75.2,75.2,75.2,94,24,4.7,1538179200
Pacific Grove,US,-121.92,36.62,65.23,68,62.96,58,1,6.93,1538178900
Puquio,PE,-74.12,-14.69,43.89,43.89,43.89,59,24,3.71,1538180968
Tambovka,UA,35.45,46.93,45.51,45.51,45.51,93,0,3.38,1538180968
Aleksandrov Gay,RU,48.57,50.14,46.14,46.14,46.14,83,8,10.98,1538180968
Ntcheu,MW,34.64,-14.82,60.99,60.99,60.99,63,0,4.94,1538180968
Rumonge,BI,29.44,-3.97,72.24,72.24,72.24,100,24,8.19,1538180968
Tara,JP,130.15,33,68.86,69.8,68,88,75,9.17,1538177400
North Bend,US,-124.22,43.41,54.59,55.94,53.6,86,90,4.7,1538178960
Hambantota,LK,81.12,6.12,77.55,77.55,77.55,100,36,11.65,1538180969
Deputatskiy,RU,139.9,69.3,27.6,27.6,27.6,87,80,12.88,1538180969
Taoudenni,ML,-3.98,22.68,78.09,78.09,78.09,28,0,8.63,1538180969
Vilcun,CL,-72.23,-38.65,44.7,44.7,44.7,98,92,8.75,1538180970
Otane,NZ,176.62,-39.89,52.71,52.71,52.71,78,76,5.5,1538180970
Calbuco,CL,-73.13,-41.77,50,50,50,93,90,4.7,1538179200
Saint-Augustin,FR,-0.61,44.83,64.2,66.2,62.6,59,0,8.05,1538179200
Omsukchan,RU,155.8,62.53,35.07,35.07,35.07,96,92,15.9,1538180970
Elat,CM,11.16,2.91,69,69,69,98,76,2.15,1538180970
Pearl Lagoon,NI,-83.67,12.34,78.8,78.8,78.8,94,75,4.7,1538175600
Springbok,ZA,17.88,-29.67,44.52,44.52,44.52,46,0,7.18,1538180971
Katherine,AU,132.26,-14.47,87.8,87.8,87.8,23,0,11.41,1538179200
Bozdar,PK,68.64,27.18,70.44,70.44,70.44,84,0,1.7,1538180971
Moroni,US,-111.59,39.52,71.07,71.07,71.07,17,20,4.16,1538180851
Cururupu,BR,-44.87,-1.82,79.26,79.26,79.26,77,12,9.53,1538180971
Pilar,AR,-58.91,-34.46,68.54,71.6,66.2,88,0,5.82,1538179200
Erenhot,CN,111.97,43.65,34.17,34.17,34.17,59,0,11.77,1538180971
Jiangyou,CN,104.73,31.78,56.76,56.76,56.76,88,24,2.71,1538180972
Aksu,KZ,76.93,52.04,46.4,46.4,46.4,87,0,6.71,1538179200
Sucua,EC,-78.17,-2.46,69.09,69.09,69.09,87,20,1.92,1538180972
Genhe,CN,121.52,50.78,45.24,45.24,45.24,93,64,5.95,1538180972
Constantine,DZ,6.61,36.36,51.8,51.8,51.8,93,20,2.24,1538179200
Sheridan,US,-105.03,39.65,48.85,53.06,46.4,57,20,11.41,1538179140
Neiafu,TO,-173.98,-18.65,78.8,78.8,78.8,69,75,8.05,1538175600
Garissa,KE,39.64,-0.46,74.04,74.04,74.04,77,80,12.1,1538180973
Mehamn,NO,27.85,71.03,35.43,35.43,35.43,98,24,10.98,1538180973
Arman,RU,150.17,59.7,51.8,51.8,51.8,93,90,3.71,1538179200
